TransactionID,Date,AccountID,AccountName,TransactionType,Amount,Currency,ExchangeRate,Balance,Merchant,MerchantPhone,MerchantEmail,Category,Subcategory,Country,City,PostalCode,CardNumber,Email,Phone,IsFraud,Notes,Amount_Base
TX103251,2025-04-03,AC3973,Arjun Sharma,Debit,47.36,USD,80.6864,1714968.59,Shopeasy,9150633421.0,shopeasy@biz.com,Education,Books,UK,Pune,153621,XXXX-XXXX-XXXX-4249,arjun.sharma@hotmail.com,-4469491713.0,No,repeat purchase,3821.31
TX101874,2024-10-08,AC8970,Dev Kumar,Debit,159.55,INR,1.0,1162428.75,Autozone,1856170186.0,autozone@biz.com,Entertainment,Concert,Australia,Delhi,380312,XXXX-XXXX-5979,dev.kumar@yahoo.com,5882006077.0,No,cashback credited,159.55
TX103746,2024-09-14,AC3777,Amit Gupta,Debit,2.43,GBP,102.0148,2085783.34,Bigbasket,323250652.0,bigbasket@biz.com,Groceries,Specialty,USA,Gurugram,350578,XXXX-XXXX-2243,amit.gupta@example.com,883289751.0,No,cashback credited,247.9
TX105269,2024-12-21,AC9635,Ritu Roy,Refund,78.96,AED,18.1216,2727243.49,Shopeasy,9150633421.0,shopeasy@biz.com,Dining,Restaurant,Australia,Mumbai,793747,XXXX-XXXX-9279,ritu.roy@hotmail.com,6845399861.0,No,suspected fraud,1430.88
TX100463,2024-04-14,AC1329,Raj Bose,Refund,42.81,USD,78.4379,259175.06,Localmart,676286112.0,localmart@biz.com,Dining,FastFood,USA,Mumbai,755067,nan,raj.bose@hotmail.com,1228611124.0,No,cashback credited,3357.93
TX105222,2025-05-20,AC4567,Maya Patel,Refund,25.28,INR,1.0,2681033.19,Amazon,9266232769.0,amazon@biz.com,Utilities,Electricity,India,Hyderabad,915819,XXXX-XXXX-4011,maya.patel@example.com,-7629416248.0,No,nan,25.28
TX104232,2023-10-23,AC3573,Priya Mehta,Credit,15.91,INR,1.0,2238462.32,Autozone,-5002659401.0,autozone@biz.com,Travel,Flight,UAE,Mumbai,267413,XXXX-XXXX-3629,priya.mehta@example.com,8044301765.0,No,nan,15.91
TX103255,2023-10-31,AC7007,Neha Roy,Refund,39.56,GBP,109.7276,1773994.74,Myntra,4807851195.0,myntra@biz.com,Automotive,Fuel,UK,Jaipur,326900,XXXX-XXXX-XXXX-2630,neha.roy@hotmail.com,5473229213.0,No,manual adjustment,4340.82
TX100757,2024-02-07,AC1584,Priya Reddy,Refund,41.34,USD,82.68,445835.54,Reliance,6381948606.0,reliance@biz.com,Health,Clinic,UK,Pune,135022,nan,priya.reddy@hotmail.com,1776923306.0,No,repeat purchase,3417.99
TX101935,2024-07-08,AC5372,Raj Reddy,Debit,5.45,GBP,96.0691,1168892.39,Shopeasy,9150633421.0,shopeasy@biz.com,Automotive,Fuel,USA,Gurugram,350578,XXXX-XXXX-9667,raj.reddy@yahoo.com,6454843768.0,No,monthly subscription,523.58
